CVE_SUN,NOM_SUN,P_2015,P_2016,P_2017,P_2018,P_2019,P_2020,P_2021,P_2022,P_2023,P_2024,P_2025,P_2026,P_2027,P_2028,P_2029,P_2030
M01.01,Aguascalientes,1056265,1076296,1093838,1110902,1127553,1143729,1159453,1174683,1189464,1203739,1217488,1230736,1243453,1255597,1267149,1278113
M02.01,Ensenada,494282,501156,510093,518900,527584,536143,544568,552852,560983,568952,576751,584380,591830,599106,606204,613131
M02.02,Mexicali,1002808,1016212,1034059,1051870,1069676,1087478,1105279,1123056,1140795,1158483,1176106,1193648,1211102,1228458,1245707,1262856
M02.03,Tijuana,1860704,1885967,1918720,1950472,1981301,2011247,2040313,2068507,2095832,2122270,2147826,2172493,2196283,2219179,2241204,2262362
M03.01,La Paz,277273,281907,286751,291685,296751,301961,307330,312859,318581,324508,330664,337053,343704,350650,357921,365534
M04.01,Campeche,290268,295650,301162,306615,312045,317424,322756,328054,333316,338522,343715,348860,353977,359074,364128,369181
M05.01,La Laguna,1374909,1393024,1410936,1428504,1445764,1462745,1479478,1495941,1512164,1528159,1543923,1559472,1574798,1589923,1604874,1619609
M05.02,Monclova-Frontera,370938,375521,380496,385508,390570,395676,400819,406005,411242,416513,421838,427204,432627,438118,443668,449292
M05.03,Piedras Negras,198115,200548,203089,205563,207978,210356,212681,214979,217243,219478,221707,223918,226131,228344,230569,232810
M05.04,Saltillo,915536,932479,949772,966444,982512,997913,1012634,1026643,1039884,1052341,1063968,1074714,1084608,1093556,1101556,1108599
M06.01,Colima-Villa de Álvarez,368270,374497,380758,386943,393043,399105,405105,411055,416972,422845,428680,434492,440288,446087,451870,457657
M06.02,Tecomán,154894,157301,159728,162156,164574,166994,169407,171814,174222,176622,179012,181403,183788,186177,188558,190929
M07.01,Tapachula,355701,361374,367098,372829,378562,384312,390076,395851,401657,407490,413359,419263,425211,431207,437261,443372
M07.02,Tuxtla Gutiérrez,829387,844097,858594,872760,886631,900234,913617,926738,939617,952386,964884,977213,989403,1001411,1013374,1025159
M08.01,Chihuahua,925200,938557,953546,967904,981615,994642,1006931,1018423,1029083,1038848,1047671,1055510,1062307,1068013,1072625,1076098
M08.02,Delicias,194638,197186,200127,202999,205785,208487,211097,213601,215982,218234,220351,222311,224109,225745,227208,228478
M08.03,Hidalgo del Parral,117778,118585,119697,120819,121960,123126,124320,125533,126775,128038,129333,130651,131998,133376,134785,136228
M08.04,Juárez,1416075,1424918,1436019,1446305,1455923,1464930,1473439,1481649,1489507,1497273,1504896,1512547,1520308,1528310,1536503,1544972
M09.01,Valle de México,21275109,21418557,21560098,21694318,21821724,21942666,22057420,22166126,22268929,22366030,22457474,22543436,22624003,22699292,22769337,22834171
M10.01,Durango,653402,663425,672181,680436,688253,695597,702486,708905,714847,720294,725234,729674,733585,736957,739715,741917
M11.01,Celaya,745625,753930,761465,768666,775583,782248,788644,794808,800734,806433,811920,817201,822294,827205,831951,836528
M11.02,Guanajuato,187214,189690,191933,194067,196104,198035,199866,201601,203231,204758,206181,207497,208712,209814,210805,211680
M11.03,León,1773158,1798513,1821203,1842416,1862216,1880630,1897644,1913190,1927295,1939904,1951005,1960582,1968611,1975050,1979851,1983007
M11.04,Moroleón-Uriangato,116697,117661,118598,119550,120540,121562,122620,123727,124879,126077,127324,128627,129989,131412,132906,134464
M11.05,San Francisco del Rincón,199652,202537,205135,207559,209828,211916,213835,215574,217135,218509,219690,220677,221462,222044,222428,222574
M12.01,Acapulco,901368,906130,909856,913345,916612,919726,922648,925501,928252,930947,933664,936421,939166,942001,944907,947886
M12.02,Chilpancingo,319102,323678,327687,331289,334486,337254,339587,341459,342856,343752,344130,343973,343255,341955,340046,337503
M13.01,Pachuca,561422,571763,581540,590870,599732,608131,616059,623487,630480,636926,642824,648218,653075,657380,661083,664190
M13.02,Tula,228166,231442,234614,237681,240668,243558,246361,249082,251724,254279,256738,259116,261409,263622,265746,267766
M13.03,Tulancingo,254728,258484,262099,265561,268881,272083,275159,278105,280934,283644,286234,288691,291039,293269,295379,297348
M14.01,Guadalajara,4943520,5007236,5070425,5130662,5188262,5243178,5295450,5345081,5392076,5436423,5478142,5517295,5553716,5587502,5618627,5647031
M14.02,Ocotlán,178669,180564,182462,184290,186052,187754,189395,190984,192526,194024,195472,196873,198245,199577,200866,202117
M14.03,Puerto Vallarta,427389,437979,448035,457403,466053,473944,481063,487362,492816,497382,501035,503746,505481,506186,505822,504345
M15.01,Tianguistenco,170852,173524,176148,178634,180968,183164,185216,187076,188795,190326,191667,192823,193788,194542,195084,195411
M15.02,Toluca,2207581,2244882,2281112,2315410,2347692,2377828,2405716,2431234,2454327,2474823,2492640,2507665,2519808,2528927,2534963,2537790
M16.01,La Piedad-Pénjamo,262076,263749,265341,266955,268623,270353,272150,274017,275973,278015,280150,282404,284774,287271,289896,292684
M16.02,Morelia,914644,927073,938384,948957,958747,967890,976173,983749,990526,996529,1001710,1006013,1009529,1012188,1013981,1014824
M16.03,Zamora,269375,271974,274332,276557,278670,280654,282546,284330,286002,287562,289018,290371,291626,292798,293868,294856
M17.01,Cuautla,476170,483214,489966,496478,502762,508800,514573,520070,525275,530168,534736,538982,542859,546376,549527,552277
M17.02,Cuernavaca,1003174,1015323,1026881,1038067,1048938,1059521,1069849,1079894,1089730,1099325,1108742,1117936,1126976,1135858,1144589,1153203
M18.01,Tepic,470695,478598,486343,493788,500992,507927,514675,521206,527537,533701,539702,545545,551228,556822,562289,567645
M19.01,Monterrey,4749513,4834644,4912090,4987793,5061732,5133917,5204346,5272942,5339768,5404690,5467739,5528839,5587899,5644918,5699814,5752554
M20.01,Oaxaca,667716,675119,681895,688019,693678,698811,703387,707482,711135,714257,716902,719058,720682,721826,722416,722581
M20.02,Tehuantepec,181994,183242,184412,185529,186622,187666,188687,189669,190636,191590,192514,193435,194338,195227,196115,196986
M21.01,Puebla-Tlaxcala,2994147,3034995,3073064,3109726,3145097,3179162,3211989,3243454,3273602,3302463,3329987,3356145,3380926,3404307,3426219,3446658
M21.02,Tehuacán,340644,346520,351963,357066,361830,366253,370304,373984,377259,380124,382557,384551,386078,387130,387695,387742
M21.03,Teziutlán,133814,135472,137008,138459,139843,141150,142388,143553,144648,145669,146623,147509,148324,149066,149743,150350
M22.01,Querétaro,1334231,1364880,1394213,1422865,1450870,1478201,1504830,1530688,1555785,1580073,1603507,1626067,1647733,1668487,1688273,1707082
M23.01,Cancún,763310,784935,806521,827532,847954,867768,886944,905473,923304,940459,956879,972553,987451,1001578,1014913,1027416
M23.02,Chetumal,247606,250360,253513,257030,260945,265298,270144,275517,281462,288018,295210,303094,311696,321055,331199,342175
M24.01,Rioverde,142607,143361,144111,144883,145679,146509,147374,148270,149199,150172,151182,152236,153336,154487,155685,156937
M24.02,San Luis Potosí,1164798,1178963,1192201,1204560,1216065,1226690,1236439,1245355,1253306,1260356,1266488,1271650,1275828,1278959,1281094,1282135
M25.01,Culiacán,919119,929980,938906,947345,955340,962871,969979,976656,982894,988705,994104,999066,1003595,1007727,1011414,1014676
M25.02,Mazatlán,498223,506602,513921,520899,527505,533733,539543,544920,549835,554264,558174,561538,564342,566550,568142,569087
M26.01,Guaymas,218258,220731,223400,226109,228858,231666,234514,237414,240364,243364,246409,249508,252647,255829,259063,262336
M26.02,Hermosillo,874942,889980,904996,919332,933033,946054,958425,970061,980977,991127,1000482,1009068,1016795,1023688,1029686,1034738
M26.03,Nogales,236163,239992,243718,247200,250457,253486,256294,258871,261225,263347,265232,266880,268287,269445,270334,270956
M27.01,Villahermosa,827692,841123,853731,865911,877620,888867,899616,909859,919569,928765,937375,945441,952924,959821,966109,971756
M28.01,Ciudad Victoria,348362,352312,356210,359959,363577,367051,370384,373573,376608,379489,382207,384756,387128,389319,391325,393135
M28.02,Matamoros,526890,531083,535140,538972,542624,546115,549472,552710,555852,558909,561911,564866,567796,570700,573588,576462
M28.03,Nuevo Laredo,406592,409874,413020,415949,418701,421295,423752,426092,428330,430476,432553,434565,436536,438455,440345,442200
M28.04,Reynosa,768944,780505,791501,801770,811228,819876,827684,834608,840634,845718,849807,852841,854751,855533,855089,853366
M28.05,Tampico,936004,945226,954252,963122,971847,980454,988936,997313,1005541,1013674,1021669,1029554,1037303,1044938,1052432,1059810
M29.01,Tlaxcala-Apizaco,552620,560405,567234,573845,580360,586707,592982,599106,605186,611135,617030,622873,628674,634434,640142,645868
M30.01,Acayucan,121780,122774,123545,124270,124939,125569,126163,126714,127228,127704,128154,128571,128961,129318,129642,129947
M30.02,Coatzacoalcos,373312,376829,379603,382193,384601,386847,388913,390822,392589,394204,395682,397029,398249,399326,400287,401120
M30.03,Córdoba,349514,353689,357146,360367,363357,366119,368649,370935,372990,374808,376374,377684,378745,379552,380095,380368
M30.04,Minatitlán,388217,391201,393547,395802,397965,400058,402047,403984,405854,407635,409366,411032,412641,414197,415685,417134
M30.05,Orizaba,466143,470720,474376,477813,481042,484061,486868,489474,491881,494101,496119,497953,499601,501088,502410,503557
M30.06,Poza Rica,550806,555540,559365,563049,566611,570057,573403,576634,579774,582811,585759,588618,591380,594066,596676,599212
M30.07,Veracruz,910399,922017,931563,940527,948821,956463,963571,969996,975818,981012,985570,989452,992744,995438,997527,998923
M30.08,Xalapa,778281,788379,796679,804284,811235,817501,823080,827969,832176,835678,838472,840569,841961,842642,842597,841839
M31.01,Mérida,1158935,1175383,1191471,1207197,1222612,1237697,1252382,1266742,1280701,1294296,1307494,1320292,1332672,1344652,1356151,1367224
M32.01,Zacatecas-Guadalupe,374329,380352,385626,390499,394973,399055,402727,405991,408808,411179,413121,414587,415586,416102,416114,415614
